,candidato,alias,seguido_Por,siguiendo_A,Antiguedad_años,meses
229,Patricia Montero,monvalpa,50583,1587,9,2
230,Daniel Yovera,danielyovera,26635,198,7,9
231,Juan Alvarez Morales,juanalvarezm,22094,3471,8,11
232,César Romero C,CesarRomeroC,32140,512,9,5
233,José Mariño,ppmarino,56526,1811,8,6
234,Nicolás Salazar,nicolassalazarl,55588,1731,8,4
235,Valia Barak Pastor,valiabarak,351595,3245,9,3
236,Luis Torres,Malapalabrero,15865,1734,9,9
237,Jimena DeLa Quintana,JDeLaQuintana,13361,363,6,2
238,Rene Gastelumendi,socioperiodismo,101713,907,6,2
239,Gerardo Caballero,gcaballeror,6505,679,8,5
240,Rodrigo  Cruz,rcruza,3643,1397,8,9
241,Erick Sablich,esablichc,666,324,3,5
242,Gino Alva,almostgino,1261,991,7,7
243,Renato Cisneros,recisneros,351898,1196,7,4
244,Fernando Tuesta,tuesta,445011,247,9,9
245,Daniel Mora Zevallos,Dmorazevallos,30762,693,6,6
246,Pao Ugaz,larryportera,139711,988,9,3
247,Raúl Tola Pedraglio,eldiarionegro,199390,215,7,1
248,Jason Day,MrJasonDay,328845,918,7,6
249,Karina Borrero,KaBorrero,30669,501,4,6
250,Alvina Ruiz,alvinaruiza,34487,775,6,7
251,Angélica Valdés,angeluvaldes,21215,711,7,0
252,Gerardo Reyna,gerardoreynaPe,26560,409,8,4
253,Jesús Verde,jesusverdeL,42365,367,9,5
254,Diana Seminario,Dianasemi,39910,1336,9,2
255,Juan De la Puente,DelaPuenteJuan,37230,1208,7,5
256,Pedro Tenorio,tenoriopedro,51079,836,7,7
257,Phillip Butters,Phill_Butters,407045,3038,4,5
258,Mario Saldaña Castro,msaldanac,54344,293,7,0
259,Alfonso Baella,alfonsobaella,40391,2528,9,2
260,Cecilia Valenzuela,cevalenzuelav,78449,234,2,9
261,Sol Carreño,SolCn,77366,259,9,1
262,Monica Delta,DeltaMdelta,103409,526,3,7
263,MavilaHuertasC,mavila_huertas,42508,1350,3,4
264,Pilar Higashi,pilarhigashi,111202,1109,7,5
265,Rosana Cueva,RosanaCuevaM,271995,479,5,7
266,BCRP - Banco Central,bcrpoficial,158840,198,9,0
267,espejomx,espejomx,108623,765,7,4
268,JPotter,jorgelpotter,2560,1020,7,11
269,Marco A. Denegri.,Cerebrotonico,19637,26,5,1
270,Jorge Caillaux,nubetonta,2664,641,8,3
271,Juan F Jimenez Mayor,JuaJimenezMayor,29395,529,5,0
272,jorge bruce,jotabruce,316738,1311,9,2
273,gerardolipe,gerardolipe,26702,829,7,7
274,Gastón Gaviola,gastongaviola,18559,1618,8,1
275,Catherine Lanseros,clanseros,31840,1207,9,3
276,Jimmy Chinchay,Jimmychinchay,125499,999,9,0
277,Renzo Mazzei,renzomazzei,16037,2098,8,5
278,Juan Carlos Tafur,jctafur,252036,1864,9,2
279,Mabel Huertas,mabel_huertas,229750,958,9,3
280,Yoshman Valverde,yvalverde,17363,1470,9,3
281,Pedro Salinas,chapatucombi,126927,300,6,7
282,Jaime Chincha Ravines,JaimeChincha,176401,696,9,4
283,Pamela Vértiz,VertizPamela,683991,979,7,4
284,Juliana Oxenford,JulianaOxenford,1692895,506,6,8
285,claudia cisneros,claudiacisneros,502345,2548,9,4
286,vetrazzo,Vetrazzo,7058,2862,9,3
287,Jose Alejandro Godoy,jgodoym,53367,1398,11,4
288,Luis Davelouis,LDavelouis,47778,1421,7,0
289,Sigrid Bazán,sigridbazan,87667,2400,9,2
290,Mijael Garrido Lecca,MijaelGLP,101404,1123,6,1
291,Jorge Aspauza Razuri,aspauzarazuri,4675,919,8,5
292,Castañeda Hablador (Hijo),rataneda,10353,287,3,7
293,Señora K Nunca Más,noafujimori,12316,617,2,5
294,julioarbizu,julioarbizu,45917,709,9,0
295,Carlos Villarreal,kikesitov67,33208,1084,9,2
296,Ángel Páez,Angelpaezs,81732,1737,8,10
297,Chicharrón de Prensa,chicharronpress,48353,1664,3,2
298,KissApp,KissAppSL,500547,18,4,9
299,La Mula,lamula,956634,2293,9,5
300,Latina.pe,Latina_pe,2905774,553,8,0
301,Capital,Capital967,2097864,805,9,6
302,Memorex📺®,RecuerdosPeru,23193,0,2,4
303,Pia Hildebrandt,piahildebrandt,44660,4788,9,5
304,La Salita del SIN,SalitaSin,22755,707,2,0
305,Útero.Pe,uterope,1265914,1135,10,5
306,Augusto Alvarez Rodrich,alvarezrodrich,2029838,1075,8,7
307,ATV+ Noticias,atvmasnoticias,142942,433,5,6
308,César Nakazaki,CesarNakazaki,34331,1075,4,8
309,Diego Fuerte,DiegoFuerteB,725,1050,7,6
310,PedroPablo Kuczynski,ppkamigo,1573035,4062,9,2
311,Depresão,trainsporking,7176,517,9,5
312,Lisby O,_sobrevuelo,322,701,8,6
313,Jardinera de cizaña,reinadecapitada,10116,1442,9,2
314,Chato Heston,elchatoheston,2542,1001,10,0
315,Mucho Vicio,muchovicio,9236,2,8,5
316,sick,TheMaxxProject,12166,69,10,8
317,Salvaje Digital,salvajedigital,10574,2303,9,0
318,fujitrolls,fujitrolls,12499,1124,2,4
319,No A Keiko,noakeiko,36375,874,9,0
320,Daniel Abugattás,dabugattas16,100996,1090,5,4
321,buda de nieve,budadenieve,5989,64,7,2
322,Carolina Dabdoub,carodabdoub,22545,1900,7,8
323,Capitán Futuro,EL667,521,133,9,1
